"ps" "z1"
"1" 0.0482579526888112 0
"2" 0.0119397753524821 0
"3" 0.0206877423579093 0
"4" 0.00429404623853334 0
"5" 0.252533890423427 0
"6" 0.999657320619615 1
"7" 0.874696521335162 1
"8" 0.874988563291129 1
"9" 0.855168497077063 1
"10" 0.178078253495893 0
"11" 0.0269480670651056 0
"12" 0.658574775046144 1
"13" 0.0851179823370617 0
"14" 0.430373322577751 0
"15" 0.685776004283234 1
"16" 0.0076887730685019 0
"17" 0.0251028589362364 0
"18" 0.0467607790462464 0
"19" 0.999483351217756 1
"20" 0.609078956978231 1
"21" 0.0449360275824097 0
"22" 0.103196767205277 1
"23" 0.035589221770411 0
"24" 0.276639147100441 1
"25" 0.991155521232529 1
"26" 0.306924890908546 0
"27" 0.770935876335445 1
"28" 0.000130557208240421 0
"29" 0.677134520568491 1
"30" 0.813973676931143 0
"31" 0.483048211969275 0
"32" 0.742994835504256 1
"33" 0.965967950481899 0
"34" 0.860069507548954 0
"35" 0.476071268287396 0
"36" 0.0642870937636918 0
"37" 0.536740507436592 1
"38" 0.908288208744856 1
"39" 0.98283051684721 1
"40" 0.990065488535686 1
"41" 0.999970045147918 1
"42" 0.999737373987932 1
"43" 0.391969178870131 0
"44" 0.000000787258665562299 0
"45" 0.676974653227617 0
"46" 0.0280959901510125 0
"47" 0.0231683157454724 0
"48" 0.0703833683459114 0
"49" 0.0215654025317263 0
"50" 0.0606140724153141 0
"51" 0.185952245654706 0
"52" 0.309012681566342 0
"53" 0.051247163698734 0
"54" 0.643170979905803 1
"55" 0.395972227524652 0
"56" 0.993356405317264 1
"57" 0.617780420495462 0
"58" 0.992794654753419 1
"59" 0.999297594893577 1
"60" 0.999407728104071 1
"61" 0.997519627916003 1
"62" 0.998437313528472 1
"63" 0.426995422452364 0
"64" 0.990907809792189 1
"65" 0.550601874967907 0
"66" 0.981887299722343 1
"67" 0.0117407829462539 0
"68" 0.993924475556638 1
"69" 0.103966072157019 0
"70" 0.669002603656435 1
"71" 0.992769165621043 1
"72" 0.975177188698671 1
"73" 0.896132680017186 0
"74" 0.956495544849254 1
"75" 0.674477145731173 1
"76" 0.864881038080923 1
"77" 0.96207421058407 1
"78" 0.873639874962264 1
"79" 0.0000833362837034034 0
"80" 0.982324309648585 1
"81" 0.837151934645633 1
"82" 0.224106636907638 1
"83" 0.977058168130526 1
"84" 0.849414495263191 1
"85" 0.999274132711051 1
"86" 0.999392350537668 1
"87" 0.0749766435667929 0
"88" 0.978870371601334 1
"89" 0.0617781088407961 1
"90" 0.999372628121606 1
"91" 0.117974705034953 0
"92" 0.758795680562647 0
"93" 0.222891680771615 0
"94" 0.760251429855599 0
"95" 0.191943480725165 0
"96" 0.871438539206367 1
"97" 0.993458761359931 1
"98" 0.997849362136375 1
"99" 0.977901836179828 1
"100" 0.801419742818529 1
"101" 0.212002108654605 0
"102" 0.814728923097075 1
"103" 0.997329262321167 1
"104" 0.981321629369229 1
"105" 0.627121007215304 1
"106" 0.730605018671919 1
"107" 0.999914645903595 1
"108" 0.994992098993541 1
"109" 0.995965804284789 1
