id,year,DPCdummy,doctor,nurse,general_beds,allowance_doctor,ave_serve_doctor,use_rates_general,ave_stays_general,ave_inpatient_per1day,ave_outpatient_per1day,inpatients_per1doctor,outpatients_per1nurse,medical_fee_per1inpatient,medical_fee_per1outpatient,inspections_per100patients,fixed_assets_per1bed,medical_revenue,non_medical_revenue,medical_cost_per1day1man,areas_facility,MrozDPC
486,25,1,14,143,175,1275024,25,62.9,15.6,175,380,9.5,1.7,31478,9632,494.7,20979,3199882,2105801,18415.68308,21651,1.66120182476719
488,25,1,168,686,811,751791,14,89.1,13.4,727,1986,3.5,1.7,57974,14242,642.9,23418,23383438,1535050,23329.92138,57083,4.31395522079698e-10
489,25,1,138,631,700,714260,12,93.2,13.9,629,1169,3.6,1,56626,14894,549.6,35757,18213996,912223,27692.0871,61050,2.13143370053768e-05
490,25,1,131,560,560,649929,17,91.7,11.3,529,1614,3.2,1.7,62195,13900,464.9,30948,18142072,1585554,23848.51476,47674,7.81896204630114e-05
491,25,0,6,73,90,680467,25,84.1,18.7,122,154,14,1.1,31095,15504,479.4,11914,2092230,166398,22440.21243,8560,1.88905166813099
492,25,1,85,353,499,612184,12,80.6,10.9,402,978,3.7,1.3,52323,12867,653,12681,11260867,414786,22091.93965,37739,0.0019393387315817
493,25,1,117,504,556,568058,13,83.7,11.8,461,1290,3.6,1.4,54492,12187,693.7,29958,13674603,578417,20738.09095,49338,0.000537433559448969
494,25,1,87,435,440,764436,14,83,12.7,413,1261,4.4,1.6,50130,10313,472.2,35885,11399068,815119,21916.3107,44670,0.0211165180820726
495,25,1,64,277,440,728630,6,79.6,15.8,350,784,4.2,1.3,41942,10512,293.1,22919,7908700,698998,20298.62047,28667,0.0368889041072682
496,25,1,46,258,320,748274,12,78.9,12.1,252,790,4.7,1.8,46119,10503,417.8,26985,6563712,862709,20074.31967,27427,0.219951378816235
497,25,1,47,257,400,851024,17,69.9,14.1,280,839,4.6,1.6,45039,11838,361.4,15353,7302925,880106,20363.25241,26176,0.104131002412011
498,25,1,45,258,382,942227,17,67.6,13.3,258,731,4.4,1.5,47777,8580,399,21465,6360792,769003,19359.5468,27534,0.15910864599465
499,25,0,29,180,270,761106,20,72.4,18.1,195,562,5.9,1.8,41761,9763,529.1,6659,4559119,439477,16632.10221,17842,0.472000330314364
